Feature,IncNodePurity
c7306,0
c7308,0
c7312,0
c7314,0.226331951
c7315,0
c7327,0
c7332,0
c7335,0
c7339,0
c7342,0
c7344,0
c7345,0
c7349,0
c7350,0
c7359,0
c7360,0
c7369,0
c7379,0
c7387,0
c7388,0
c7391,0
c7398,0
c7399,0
c7401,0
c7404,0
c7409,0
c7410,0
c7414,0
c7416,0
c7426,0
c7434,0
c7437,0
c7438,0
c7447,0
c7452,0
c7456,0
c7460,0
c7463,0
c7466,0
c7470,0
c7473,0
c7478,0
c7479,0
c7503,0
c7505,0
c7506,0
c7514,0
c7516,0
c7530,0.319269066
c7534,0.947158053
c7535,0
c7541,0
c7543,0
c7547,0
c7549,0
c7550,0
c7555,0
c7564,2.846515676
c7568,0
c7572,0
c7573,0
c7574,0
c7575,0
c7578,0
c7579,0
c7590,0
c7591,0
c7593,0
c7596,0
c7602,0
c7612,0
c7615,0
c7623,0
c7629,0
c7632,0
c7634,0
c7636,0
c7642,0
c7651,0
c7652,0
c7654,0
c7656,0
c7657,0
c7664,0
c7667,0
c7669,0
c7670,0
c7673,0
c7675,0
c7679,0
c7683,0
c7692,0
c7706,0.129667196
c7707,0
c7717,0
c7721,0
c7729,0
c7739,0
c7740,0
c7741,0
c7747,0.10656124
c7748,0
c7751,0
c7752,0
c7755,0
c7759,0
c7763,0
c7766,0
c7772,0
c7779,0
c7780,0
c7783,0
c7796,0
c7797,0
c7800,0
c7805,0
c7811,0
c7814,0
c7819,0
c7822,0
c7823,0
c7828,0
c7831,0
c7834,0
c7835,0
c7838,0
c7844,0
c7856,0
c7857,0
c7863,0
c7864,0
c7869,0
c7870,0
c7883,0
c7886,0
c7888,0
c7892,0
c7895,0
c7898,0
c7899,0
c7904,0
c7907,0
c7911,0
c7914,0
c7919,0
c7922,0
c7924,0
c7925,0
c7930,0
c7931,0
c7932,0.090657492
c7936,0
c7938,0
c7940,0
c7944,0
c7946,0
c7947,0
c7951,0
c7960,0
c7961,0.573820767
c7966,0
c7975,0
c7983,0
c7984,0
c7989,0
c7993,0
c8002,0
c8003,0
c8004,0
c8005,0
c8009,0
c8013,0
c8016,0
c8017,0
c8018,0
c8022,0
c8023,0
c8030,0
c8031,0
c8032,0
c8033,0
c8041,0
c8043,0
c8045,0
c8047,0
c8054,0
c8055,0
c8062,0
c8066,0
c8068,0
c8079,0
c8081,0
c8095,0
c8103,0
c8105,0
c8108,0
c8111,0
c8112,0
c8114,0
c8120,0
c8124,0
c8125,0
c8129,0
c8141,0
c8142,0
c8145,0
c8150,0
c8157,0
c8158,0
c8162,0
c8164,0
c8167,0
c8171,0
c8175,0
c8176,0
c8179,0
c8181,0
c8189,0
c8194,1.295622971
c8196,0
c8208,0
c8213,0
c8214,0
c8219,0
c8224,0
c8236,0
c8238,0
c8239,0
c8242,0
c8256,0
c8258,0
c8262,0
c8266,0
c8270,0
c8271,0
c8274,0
c8275,0
c8276,0
c8277,0
c8281,0
c8282,0
c8286,0
c8289,0
c8296,0
c8306,0
c8308,0
c8309,0
c8310,0
c8313,0
c8320,0
c8325,0
c8327,0
c8333,0
c8334,0
c8335,0
c8337,0
c8340,0
c8341,0
c8344,0
c8345,0
c8352,0
c8363,0
c8365,0
c8371,0
c8372,0
c8374,0
c8384,0
c8389,0
c8391,0
c8394,0
c8408,0
c8409,0
c8410,0
c8412,0
c8416,0
c8417,0
c8418,0
