"","V1","V2"
"807","ZSCAN12P1","c807"
"808","HIST2H3A","c808"
"809","DCAF4","c809"
"810","LCLAT1","c810"
"811","TSKU","c811"
"812","PDLIM1","c812"
"813","KRTCAP3","c813"
"814","KCNS2","c814"
"815","RNF126","c815"
"816","MIR4741","c816"
"817","CEP63","c817"
"818","CLIC4","c818"
"819","ACR","c819"
"820","KLK7","c820"
"821","ALOX5AP","c821"
"822","RIPK3","c822"
"823","TAS2R9","c823"
"824","C19orf18","c824"
"825","BIRC6","c825"
"826","ZNF16","c826"
"827","RFT1","c827"
"828","ELP6","c828"
"829","APOC1P1","c829"
"830","SLC8A2","c830"
"831","TACC1","c831"
"832","ITGAD","c832"
"833","SH3PXD2B","c833"
"834","SAMHD1","c834"
"835","EPC2","c835"
"836","C20orf85","c836"
"837","ATP13A2","c837"
"838","ASIC5","c838"
"839","KRT4","c839"
"840","SNX18","c840"
"841","MDM2","c841"
"842","CAPNS1","c842"
"843","SNORD110","c843"
"844","PCDH20","c844"
"845","KCNK9","c845"
"846","SNHG15","c846"
"847","MIR4464","c847"
"848","OR2C1","c848"
"849","KLHDC3","c849"
"850","IPPK","c850"
"851","EFHD2","c851"
"852","NBEA","c852"
"853","GALR3","c853"
"854","ABCA6","c854"
"855","CLDN3","c855"
"856","AKT2","c856"
"857","EGFR","c857"
"858","ZDHHC3","c858"
"859","SLC25A4","c859"
"860","CYB5B","c860"
"861","TESPA1","c861"
"862","NDRG1","c862"
"863","CPXM1","c863"
"864","CACNA1C-AS1","c864"
"865","CDHR4","c865"
"866","OR5L2","c866"
"867","ANKRD30BP2","c867"
"868","ZNF285","c868"
"869","MRPL46","c869"
"870","FMO6P","c870"
"871","FARP2","c871"
"872","SNORD50A","c872"
"873","LOC100270746","c873"
"874","MAPKAPK3","c874"
"875","LDHAL6B","c875"
"876","NCAM2","c876"
"877","PRKD2","c877"
"878","ZFP36L1","c878"
"879","CYSLTR1","c879"
"880","OR4C3","c880"
"881","HIST1H2AJ","c881"
"882","CCNB2","c882"
"883","ZNF10","c883"
"884","TMEM175","c884"
"885","FAM134A","c885"
"886","TIGD4","c886"
"887","FLJ13197","c887"
"888","PCNP","c888"
"889","TBC1D3G","c889"
"890","SLX1B-SULT1A4","c890"
